"date","sunrise","sunset","day_length"
2009-02-04,"2009-02-04T14:53:31+00:00","2009-02-05T01:29:05+00:00","38134"
2009-02-05,"2009-02-05T14:52:38+00:00","2009-02-06T01:30:06+00:00","38248"
2009-02-06,"2009-02-06T14:51:43+00:00","2009-02-07T01:31:08+00:00","38365"
2009-02-07,"2009-02-07T14:50:48+00:00","2009-02-08T01:32:09+00:00","38481"
2009-02-08,"2009-02-08T14:49:51+00:00","2009-02-09T01:33:09+00:00","38598"
2009-02-09,"2009-02-09T14:48:52+00:00","2009-02-10T01:34:10+00:00","38718"
2009-02-10,"2009-02-10T14:47:52+00:00","2009-02-11T01:35:10+00:00","38838"
2009-02-11,"2009-02-11T14:46:51+00:00","2009-02-12T01:36:10+00:00","38959"
2009-02-12,"2009-02-12T14:45:49+00:00","2009-02-13T01:37:10+00:00","39081"
2009-02-13,"2009-02-13T14:44:46+00:00","2009-02-14T01:38:09+00:00","39203"
2009-02-14,"2009-02-14T14:43:41+00:00","2009-02-15T01:39:09+00:00","39328"
2009-02-15,"2009-02-15T14:42:36+00:00","2009-02-16T01:40:07+00:00","39451"
2009-02-16,"2009-02-16T14:41:29+00:00","2009-02-17T01:41:06+00:00","39577"
2009-02-17,"2009-02-17T14:40:21+00:00","2009-02-18T01:42:04+00:00","39703"
2009-02-18,"2009-02-18T14:39:12+00:00","2009-02-19T01:43:02+00:00","39830"
2009-02-19,"2009-02-19T14:38:02+00:00","2009-02-20T01:44:00+00:00","39958"
2009-02-20,"2009-02-20T14:36:51+00:00","2009-02-21T01:44:57+00:00","40086"
2009-02-21,"2009-02-21T14:35:40+00:00","2009-02-22T01:45:54+00:00","40214"
2009-02-22,"2009-02-22T14:34:27+00:00","2009-02-23T01:46:50+00:00","40343"
2009-02-23,"2009-02-23T14:33:13+00:00","2009-02-24T01:47:46+00:00","40473"
2009-02-24,"2009-02-24T14:31:59+00:00","2009-02-25T01:48:42+00:00","40603"
2009-02-25,"2009-02-25T14:30:44+00:00","2009-02-26T01:49:38+00:00","40734"
2009-02-26,"2009-02-26T14:29:28+00:00","2009-02-27T01:50:33+00:00","40865"
2009-02-27,"2009-02-27T14:28:11+00:00","2009-02-28T01:51:28+00:00","40997"
2009-02-28,"2009-02-28T14:26:53+00:00","2009-03-01T01:52:23+00:00","41130"
2009-03-01,"2009-03-01T14:25:35+00:00","2009-03-02T01:53:17+00:00","41262"
2009-03-02,"2009-03-02T14:24:16+00:00","2009-03-03T01:54:11+00:00","41395"
2009-03-03,"2009-03-03T14:22:57+00:00","2009-03-04T01:55:04+00:00","41527"
2009-03-04,"2009-03-04T14:21:37+00:00","2009-03-05T01:55:58+00:00","41661"
2009-03-05,"2009-03-05T14:20:16+00:00","2009-03-06T01:56:51+00:00","41795"
2009-03-06,"2009-03-06T14:18:55+00:00","2009-03-07T01:57:43+00:00","41928"
2009-03-07,"2009-03-07T14:17:34+00:00","2009-03-08T01:58:36+00:00","42062"
2009-03-08,"2009-03-08T14:16:12+00:00","2009-03-09T01:59:28+00:00","42196"
2009-03-09,"2009-03-09T14:14:49+00:00","2009-03-10T02:00:20+00:00","42331"
2009-03-10,"2009-03-10T14:13:26+00:00","2009-03-11T02:01:12+00:00","42466"
2009-03-11,"2009-03-11T14:12:03+00:00","2009-03-12T02:02:03+00:00","42600"
2009-03-12,"2009-03-12T14:10:39+00:00","2009-03-13T02:02:54+00:00","42735"
2009-03-13,"2009-03-13T14:09:15+00:00","2009-03-14T02:03:45+00:00","42870"
2009-03-14,"2009-03-14T14:07:51+00:00","2009-03-15T02:04:36+00:00","43005"
2009-03-15,"2009-03-15T14:06:26+00:00","2009-03-16T02:05:26+00:00","43140"
2009-03-16,"2009-03-16T14:05:02+00:00","2009-03-17T02:06:17+00:00","43275"
2009-03-17,"2009-03-17T14:03:37+00:00","2009-03-18T02:07:07+00:00","43410"
2009-03-18,"2009-03-18T14:02:11+00:00","2009-03-19T02:07:57+00:00","43546"
2009-03-19,"2009-03-19T14:00:46+00:00","2009-03-20T02:08:47+00:00","43681"
2009-03-20,"2009-03-20T13:59:21+00:00","2009-03-21T02:09:37+00:00","43816"
2009-03-21,"2009-03-21T13:57:55+00:00","2009-03-22T02:10:26+00:00","43951"
2009-03-22,"2009-03-22T13:56:30+00:00","2009-03-23T02:11:16+00:00","44086"
2009-03-23,"2009-03-23T13:55:04+00:00","2009-03-24T02:12:05+00:00","44221"
2009-03-24,"2009-03-24T13:53:39+00:00","2009-03-25T02:12:54+00:00","44355"
2009-03-25,"2009-03-25T13:52:13+00:00","2009-03-26T02:13:43+00:00","44490"
2009-03-26,"2009-03-26T13:50:48+00:00","2009-03-27T02:14:33+00:00","44625"
2009-03-27,"2009-03-27T13:49:23+00:00","2009-03-28T02:15:22+00:00","44759"
2009-03-28,"2009-03-28T13:47:58+00:00","2009-03-29T02:16:11+00:00","44893"
2009-03-29,"2009-03-29T13:46:33+00:00","2009-03-30T02:16:59+00:00","45026"
2009-03-30,"2009-03-30T13:45:08+00:00","2009-03-31T02:17:48+00:00","45160"
2009-03-31,"2009-03-31T13:43:43+00:00","2009-04-01T02:18:37+00:00","45294"
2009-04-01,"2009-04-01T13:42:19+00:00","2009-04-02T02:19:26+00:00","45427"
2009-04-02,"2009-04-02T13:40:55+00:00","2009-04-03T02:20:15+00:00","45560"
2009-04-03,"2009-04-03T13:39:31+00:00","2009-04-04T02:21:04+00:00","45693"
2009-04-04,"2009-04-04T13:38:07+00:00","2009-04-05T02:21:52+00:00","45825"
2009-04-05,"2009-04-05T13:36:44+00:00","2009-04-06T02:22:41+00:00","45957"
2009-04-06,"2009-04-06T13:35:22+00:00","2009-04-07T02:23:30+00:00","46088"
2009-04-07,"2009-04-07T13:33:59+00:00","2009-04-08T02:24:19+00:00","46220"
2009-04-08,"2009-04-08T13:32:38+00:00","2009-04-09T02:25:08+00:00","46350"
2009-04-09,"2009-04-09T13:31:16+00:00","2009-04-10T02:25:57+00:00","46481"
2009-04-10,"2009-04-10T13:29:55+00:00","2009-04-11T02:26:46+00:00","46611"
2009-04-11,"2009-04-11T13:28:35+00:00","2009-04-12T02:27:35+00:00","46740"
2009-04-12,"2009-04-12T13:27:15+00:00","2009-04-13T02:28:24+00:00","46869"
2009-04-13,"2009-04-13T13:25:56+00:00","2009-04-14T02:29:13+00:00","46997"
2009-04-14,"2009-04-14T13:24:38+00:00","2009-04-15T02:30:03+00:00","47125"
2009-04-15,"2009-04-15T13:23:20+00:00","2009-04-16T02:30:52+00:00","47252"
2009-04-16,"2009-04-16T13:22:03+00:00","2009-04-17T02:31:41+00:00","47378"
2009-04-17,"2009-04-17T13:20:46+00:00","2009-04-18T02:32:31+00:00","47505"
2009-04-18,"2009-04-18T13:19:30+00:00","2009-04-19T02:33:20+00:00","47630"
2009-04-19,"2009-04-19T13:18:15+00:00","2009-04-20T02:34:10+00:00","47755"
2009-04-20,"2009-04-20T13:17:01+00:00","2009-04-21T02:34:59+00:00","47878"
2009-04-21,"2009-04-21T13:15:48+00:00","2009-04-22T02:35:49+00:00","48001"
2009-04-22,"2009-04-22T13:14:35+00:00","2009-04-23T02:36:39+00:00","48124"
2009-04-23,"2009-04-23T13:13:24+00:00","2009-04-24T02:37:28+00:00","48244"
2009-04-24,"2009-04-24T13:12:13+00:00","2009-04-25T02:38:18+00:00","48365"
2009-04-25,"2009-04-25T13:11:03+00:00","2009-04-26T02:39:08+00:00","48485"
2009-04-26,"2009-04-26T13:09:54+00:00","2009-04-27T02:39:58+00:00","48604"
2009-04-27,"2009-04-27T13:08:47+00:00","2009-04-28T02:40:48+00:00","48721"
2009-04-28,"2009-04-28T13:07:40+00:00","2009-04-29T02:41:37+00:00","48837"
2009-04-29,"2009-04-29T13:06:34+00:00","2009-04-30T02:42:27+00:00","48953"
2009-04-30,"2009-04-30T13:05:29+00:00","2009-05-01T02:43:17+00:00","49068"
2009-05-01,"2009-05-01T13:04:26+00:00","2009-05-02T02:44:07+00:00","49181"
2009-05-02,"2009-05-02T13:03:23+00:00","2009-05-03T02:44:57+00:00","49294"
2009-05-03,"2009-05-03T13:02:22+00:00","2009-05-04T02:45:46+00:00","49404"
2009-05-04,"2009-05-04T13:01:22+00:00","2009-05-05T02:46:36+00:00","49514"
2009-05-05,"2009-05-05T13:00:23+00:00","2009-05-06T02:47:25+00:00","49622"
2009-05-06,"2009-05-06T12:59:26+00:00","2009-05-07T02:48:15+00:00","49729"
2009-05-07,"2009-05-07T12:58:29+00:00","2009-05-08T02:49:04+00:00","49835"
2009-05-08,"2009-05-08T12:57:34+00:00","2009-05-09T02:49:53+00:00","49939"
2009-05-09,"2009-05-09T12:56:41+00:00","2009-05-10T02:50:42+00:00","50041"
2009-05-10,"2009-05-10T12:55:48+00:00","2009-05-11T02:51:31+00:00","50143"
2009-05-11,"2009-05-11T12:54:57+00:00","2009-05-12T02:52:20+00:00","50243"
2009-05-12,"2009-05-12T12:54:07+00:00","2009-05-13T02:53:08+00:00","50341"
2009-05-13,"2009-05-13T12:53:19+00:00","2009-05-14T02:53:56+00:00","50437"
2009-05-14,"2009-05-14T12:52:32+00:00","2009-05-15T02:54:44+00:00","50532"
2009-05-15,"2009-05-15T12:51:47+00:00","2009-05-16T02:55:31+00:00","50624"
2009-05-16,"2009-05-16T12:51:03+00:00","2009-05-17T02:56:18+00:00","50715"
2009-05-17,"2009-05-17T12:50:21+00:00","2009-05-18T02:57:05+00:00","50804"
2009-05-18,"2009-05-18T12:49:40+00:00","2009-05-19T02:57:51+00:00","50891"
2009-05-19,"2009-05-19T12:49:00+00:00","2009-05-20T02:58:37+00:00","50977"
2009-05-20,"2009-05-20T12:48:23+00:00","2009-05-21T02:59:23+00:00","51060"
2009-05-21,"2009-05-21T12:47:46+00:00","2009-05-22T03:00:08+00:00","51142"
2009-05-22,"2009-05-22T12:47:12+00:00","2009-05-23T03:00:52+00:00","51220"
2009-05-23,"2009-05-23T12:46:39+00:00","2009-05-24T03:01:36+00:00","51297"
2009-05-24,"2009-05-24T12:46:07+00:00","2009-05-25T03:02:19+00:00","51372"
2009-05-25,"2009-05-25T12:45:37+00:00","2009-05-26T03:03:02+00:00","51445"
2009-05-26,"2009-05-26T12:45:09+00:00","2009-05-27T03:03:43+00:00","51514"
2009-05-27,"2009-05-27T12:44:42+00:00","2009-05-28T03:04:25+00:00","51583"
2009-05-28,"2009-05-28T12:44:17+00:00","2009-05-29T03:05:05+00:00","51648"
2009-05-29,"2009-05-29T12:43:54+00:00","2009-05-30T03:05:45+00:00","51711"
2009-05-30,"2009-05-30T12:43:33+00:00","2009-05-31T03:06:24+00:00","51771"
2009-05-31,"2009-05-31T12:43:13+00:00","2009-06-01T03:07:02+00:00","51829"
2009-06-01,"2009-06-01T12:42:54+00:00","2009-06-02T03:07:39+00:00","51885"
2009-06-02,"2009-06-02T12:42:38+00:00","2009-06-03T03:08:15+00:00","51937"
2009-06-03,"2009-06-03T12:42:23+00:00","2009-06-04T03:08:50+00:00","51987"
2009-06-04,"2009-06-04T12:42:10+00:00","2009-06-05T03:09:24+00:00","52034"
2009-06-05,"2009-06-05T12:41:58+00:00","2009-06-06T03:09:57+00:00","52079"
2009-06-06,"2009-06-06T12:41:48+00:00","2009-06-07T03:10:30+00:00","52122"
2009-06-07,"2009-06-07T12:41:40+00:00","2009-06-08T03:11:01+00:00","52161"
2009-06-08,"2009-06-08T12:41:33+00:00","2009-06-09T03:11:30+00:00","52197"
2009-06-09,"2009-06-09T12:41:28+00:00","2009-06-10T03:11:59+00:00","52231"
2009-06-10,"2009-06-10T12:41:25+00:00","2009-06-11T03:12:27+00:00","52262"
2009-06-11,"2009-06-11T12:41:24+00:00","2009-06-12T03:12:53+00:00","52289"
2009-06-12,"2009-06-12T12:41:24+00:00","2009-06-13T03:13:18+00:00","52314"
2009-06-13,"2009-06-13T12:41:25+00:00","2009-06-14T03:13:41+00:00","52336"
2009-06-14,"2009-06-14T12:41:29+00:00","2009-06-15T03:14:04+00:00","52355"
2009-06-15,"2009-06-15T12:41:33+00:00","2009-06-16T03:14:25+00:00","52372"
2009-06-16,"2009-06-16T12:41:40+00:00","2009-06-17T03:14:44+00:00","52384"
2009-06-17,"2009-06-17T12:41:48+00:00","2009-06-18T03:15:02+00:00","52394"
2009-06-18,"2009-06-18T12:41:57+00:00","2009-06-19T03:15:19+00:00","52402"
2009-06-19,"2009-06-19T12:42:08+00:00","2009-06-20T03:15:34+00:00","52406"
2009-06-20,"2009-06-20T12:42:21+00:00","2009-06-21T03:15:48+00:00","52407"
2009-06-21,"2009-06-21T12:42:35+00:00","2009-06-22T03:16:00+00:00","52405"
2009-06-22,"2009-06-22T12:42:50+00:00","2009-06-23T03:16:11+00:00","52401"
2009-06-23,"2009-06-23T12:43:07+00:00","2009-06-24T03:16:20+00:00","52393"
2009-06-24,"2009-06-24T12:43:25+00:00","2009-06-25T03:16:27+00:00","52382"
2009-06-25,"2009-06-25T12:43:44+00:00","2009-06-26T03:16:33+00:00","52369"
2009-06-26,"2009-06-26T12:44:05+00:00","2009-06-27T03:16:37+00:00","52352"
2009-06-27,"2009-06-27T12:44:27+00:00","2009-06-28T03:16:40+00:00","52333"
2009-06-28,"2009-06-28T12:44:51+00:00","2009-06-29T03:16:40+00:00","52309"
2009-06-29,"2009-06-29T12:45:15+00:00","2009-06-30T03:16:40+00:00","52285"
2009-06-30,"2009-06-30T12:45:41+00:00","2009-07-01T03:16:37+00:00","52256"
2009-07-01,"2009-07-01T12:46:08+00:00","2009-07-02T03:16:33+00:00","52225"
2009-07-02,"2009-07-02T12:46:36+00:00","2009-07-03T03:16:27+00:00","52191"
2009-07-03,"2009-07-03T12:47:06+00:00","2009-07-04T03:16:20+00:00","52154"
2009-07-04,"2009-07-04T12:47:36+00:00","2009-07-05T03:16:10+00:00","52114"
2009-07-05,"2009-07-05T12:48:07+00:00","2009-07-06T03:15:59+00:00","52072"
2009-07-06,"2009-07-06T12:48:39+00:00","2009-07-07T03:15:47+00:00","52028"
2009-07-07,"2009-07-07T12:49:13+00:00","2009-07-08T03:15:32+00:00","51979"
2009-07-08,"2009-07-08T12:49:47+00:00","2009-07-09T03:15:16+00:00","51929"
2009-07-09,"2009-07-09T12:50:22+00:00","2009-07-10T03:14:58+00:00","51876"
2009-07-10,"2009-07-10T12:50:58+00:00","2009-07-11T03:14:38+00:00","51820"
2009-07-11,"2009-07-11T12:51:35+00:00","2009-07-12T03:14:17+00:00","51762"
2009-07-12,"2009-07-12T12:52:12+00:00","2009-07-13T03:13:54+00:00","51702"
2009-07-13,"2009-07-13T12:52:50+00:00","2009-07-14T03:13:29+00:00","51639"
2009-07-14,"2009-07-14T12:53:29+00:00","2009-07-15T03:13:03+00:00","51574"
2009-07-15,"2009-07-15T12:54:09+00:00","2009-07-16T03:12:35+00:00","51506"
2009-07-16,"2009-07-16T12:54:49+00:00","2009-07-17T03:12:05+00:00","51436"
2009-07-17,"2009-07-17T12:55:30+00:00","2009-07-18T03:11:34+00:00","51364"
2009-07-18,"2009-07-18T12:56:11+00:00","2009-07-19T03:11:01+00:00","51290"
2009-07-19,"2009-07-19T12:56:53+00:00","2009-07-20T03:10:26+00:00","51213"
2009-07-20,"2009-07-20T12:57:35+00:00","2009-07-21T03:09:50+00:00","51135"
2009-07-21,"2009-07-21T12:58:18+00:00","2009-07-22T03:09:12+00:00","51054"
2009-07-22,"2009-07-22T12:59:02+00:00","2009-07-23T03:08:33+00:00","50971"
2009-07-23,"2009-07-23T12:59:45+00:00","2009-07-24T03:07:52+00:00","50887"
2009-07-24,"2009-07-24T13:00:29+00:00","2009-07-25T03:07:09+00:00","50800"
2009-07-25,"2009-07-25T13:01:14+00:00","2009-07-26T03:06:25+00:00","50711"
2009-07-26,"2009-07-26T13:01:58+00:00","2009-07-27T03:05:39+00:00","50621"
2009-07-27,"2009-07-27T13:02:43+00:00","2009-07-28T03:04:52+00:00","50529"
2009-07-28,"2009-07-28T13:03:29+00:00","2009-07-29T03:04:04+00:00","50435"
2009-07-29,"2009-07-29T13:04:14+00:00","2009-07-30T03:03:14+00:00","50340"
2009-07-30,"2009-07-30T13:05:00+00:00","2009-07-31T03:02:22+00:00","50242"
2009-07-31,"2009-07-31T13:05:46+00:00","2009-08-01T03:01:29+00:00","50143"
2009-08-01,"2009-08-01T13:06:32+00:00","2009-08-02T03:00:35+00:00","50043"
2009-08-02,"2009-08-02T13:07:18+00:00","2009-08-03T02:59:40+00:00","49942"
2009-08-03,"2009-08-03T13:08:04+00:00","2009-08-04T02:58:43+00:00","49839"
2009-08-04,"2009-08-04T13:08:50+00:00","2009-08-05T02:57:45+00:00","49735"
2009-08-05,"2009-08-05T13:09:37+00:00","2009-08-06T02:56:45+00:00","49628"
2009-08-06,"2009-08-06T13:10:23+00:00","2009-08-07T02:55:45+00:00","49522"
2009-08-07,"2009-08-07T13:11:10+00:00","2009-08-08T02:54:43+00:00","49413"
2009-08-08,"2009-08-08T13:11:56+00:00","2009-08-09T02:53:40+00:00","49304"
2009-08-09,"2009-08-09T13:12:43+00:00","2009-08-10T02:52:35+00:00","49192"
2009-08-10,"2009-08-10T13:13:29+00:00","2009-08-11T02:51:30+00:00","49081"
2009-08-11,"2009-08-11T13:14:16+00:00","2009-08-12T02:50:24+00:00","48968"
2009-08-12,"2009-08-12T13:15:02+00:00","2009-08-13T02:49:16+00:00","48854"
2009-08-13,"2009-08-13T13:15:49+00:00","2009-08-14T02:48:07+00:00","48738"
2009-08-14,"2009-08-14T13:16:35+00:00","2009-08-15T02:46:58+00:00","48623"
2009-08-15,"2009-08-15T13:17:22+00:00","2009-08-16T02:45:47+00:00","48505"
2009-08-16,"2009-08-16T13:18:08+00:00","2009-08-17T02:44:35+00:00","48387"
2009-08-17,"2009-08-17T13:18:54+00:00","2009-08-18T02:43:23+00:00","48269"
2009-08-18,"2009-08-18T13:19:40+00:00","2009-08-19T02:42:09+00:00","48149"
2009-08-19,"2009-08-19T13:20:26+00:00","2009-08-20T02:40:55+00:00","48029"
2009-08-20,"2009-08-20T13:21:12+00:00","2009-08-21T02:39:40+00:00","47908"
2009-08-21,"2009-08-21T13:21:58+00:00","2009-08-22T02:38:23+00:00","47785"
2009-08-22,"2009-08-22T13:22:44+00:00","2009-08-23T02:37:07+00:00","47663"
2009-08-23,"2009-08-23T13:23:30+00:00","2009-08-24T02:35:49+00:00","47539"
2009-08-24,"2009-08-24T13:24:15+00:00","2009-08-25T02:34:30+00:00","47415"
2009-08-25,"2009-08-25T13:25:01+00:00","2009-08-26T02:33:11+00:00","47290"
2009-08-26,"2009-08-26T13:25:46+00:00","2009-08-27T02:31:52+00:00","47166"
2009-08-27,"2009-08-27T13:26:32+00:00","2009-08-28T02:30:31+00:00","47039"
2009-08-28,"2009-08-28T13:27:17+00:00","2009-08-29T02:29:10+00:00","46913"
2009-08-29,"2009-08-29T13:28:02+00:00","2009-08-30T02:27:48+00:00","46786"
2009-08-30,"2009-08-30T13:28:47+00:00","2009-08-31T02:26:26+00:00","46659"
2009-08-31,"2009-08-31T13:29:32+00:00","2009-09-01T02:25:03+00:00","46531"
2009-09-01,"2009-09-01T13:30:17+00:00","2009-09-02T02:23:40+00:00","46403"
2009-09-02,"2009-09-02T13:31:02+00:00","2009-09-03T02:22:16+00:00","46274"
2009-09-03,"2009-09-03T13:31:47+00:00","2009-09-04T02:20:52+00:00","46145"
2009-09-04,"2009-09-04T13:32:32+00:00","2009-09-05T02:19:27+00:00","46015"
2009-09-05,"2009-09-05T13:33:16+00:00","2009-09-06T02:18:02+00:00","45886"
2009-09-06,"2009-09-06T13:34:01+00:00","2009-09-07T02:16:36+00:00","45755"
2009-09-07,"2009-09-07T13:34:46+00:00","2009-09-08T02:15:10+00:00","45624"
2009-09-08,"2009-09-08T13:35:30+00:00","2009-09-09T02:13:44+00:00","45494"
2009-09-09,"2009-09-09T13:36:15+00:00","2009-09-10T02:12:18+00:00","45363"
2009-09-10,"2009-09-10T13:36:59+00:00","2009-09-11T02:10:51+00:00","45232"
2009-09-11,"2009-09-11T13:37:44+00:00","2009-09-12T02:09:24+00:00","45100"
2009-09-12,"2009-09-12T13:38:29+00:00","2009-09-13T02:07:57+00:00","44968"
2009-09-13,"2009-09-13T13:39:13+00:00","2009-09-14T02:06:29+00:00","44836"
2009-09-14,"2009-09-14T13:39:58+00:00","2009-09-15T02:05:02+00:00","44704"
2009-09-15,"2009-09-15T13:40:43+00:00","2009-09-16T02:03:34+00:00","44571"
2009-09-16,"2009-09-16T13:41:28+00:00","2009-09-17T02:02:07+00:00","44439"
2009-09-17,"2009-09-17T13:42:13+00:00","2009-09-18T02:00:39+00:00","44306"
2009-09-18,"2009-09-18T13:42:58+00:00","2009-09-19T01:59:11+00:00","44173"
2009-09-19,"2009-09-19T13:43:43+00:00","2009-09-20T01:57:43+00:00","44040"
2009-09-20,"2009-09-20T13:44:28+00:00","2009-09-21T01:56:16+00:00","43908"
2009-09-21,"2009-09-21T13:45:13+00:00","2009-09-22T01:54:48+00:00","43775"
2009-09-22,"2009-09-22T13:45:59+00:00","2009-09-23T01:53:20+00:00","43641"
2009-09-23,"2009-09-23T13:46:44+00:00","2009-09-24T01:51:53+00:00","43509"
2009-09-24,"2009-09-24T13:47:30+00:00","2009-09-25T01:50:26+00:00","43376"
2009-09-25,"2009-09-25T13:48:16+00:00","2009-09-26T01:48:58+00:00","43242"
2009-09-26,"2009-09-26T13:49:02+00:00","2009-09-27T01:47:31+00:00","43109"
2009-09-27,"2009-09-27T13:49:48+00:00","2009-09-28T01:46:05+00:00","42977"
2009-09-28,"2009-09-28T13:50:35+00:00","2009-09-29T01:44:38+00:00","42843"
2009-09-29,"2009-09-29T13:51:22+00:00","2009-09-30T01:43:12+00:00","42710"
2009-09-30,"2009-09-30T13:52:09+00:00","2009-10-01T01:41:46+00:00","42577"
2009-10-01,"2009-10-01T13:52:56+00:00","2009-10-02T01:40:20+00:00","42444"
2009-10-02,"2009-10-02T13:53:43+00:00","2009-10-03T01:38:55+00:00","42312"
2009-10-03,"2009-10-03T13:54:31+00:00","2009-10-04T01:37:31+00:00","42180"
2009-10-04,"2009-10-04T13:55:19+00:00","2009-10-05T01:36:06+00:00","42047"
2009-10-05,"2009-10-05T13:56:07+00:00","2009-10-06T01:34:42+00:00","41915"
2009-10-06,"2009-10-06T13:56:56+00:00","2009-10-07T01:33:19+00:00","41783"
2009-10-07,"2009-10-07T13:57:45+00:00","2009-10-08T01:31:56+00:00","41651"
2009-10-08,"2009-10-08T13:58:34+00:00","2009-10-09T01:30:34+00:00","41520"
2009-10-09,"2009-10-09T13:59:23+00:00","2009-10-10T01:29:12+00:00","41389"
2009-10-10,"2009-10-10T14:00:13+00:00","2009-10-11T01:27:51+00:00","41258"
2009-10-11,"2009-10-11T14:01:03+00:00","2009-10-12T01:26:31+00:00","41128"
2009-10-12,"2009-10-12T14:01:53+00:00","2009-10-13T01:25:11+00:00","40998"
2009-10-13,"2009-10-13T14:02:44+00:00","2009-10-14T01:23:52+00:00","40868"
2009-10-14,"2009-10-14T14:03:35+00:00","2009-10-15T01:22:34+00:00","40739"
2009-10-15,"2009-10-15T14:04:27+00:00","2009-10-16T01:21:16+00:00","40609"
2009-10-16,"2009-10-16T14:05:19+00:00","2009-10-17T01:20:00+00:00","40481"
2009-10-17,"2009-10-17T14:06:11+00:00","2009-10-18T01:18:44+00:00","40353"
2009-10-18,"2009-10-18T14:07:03+00:00","2009-10-19T01:17:29+00:00","40226"
2009-10-19,"2009-10-19T14:07:56+00:00","2009-10-20T01:16:15+00:00","40099"
2009-10-20,"2009-10-20T14:08:50+00:00","2009-10-21T01:15:02+00:00","39972"
2009-10-21,"2009-10-21T14:09:43+00:00","2009-10-22T01:13:49+00:00","39846"
2009-10-22,"2009-10-22T14:10:37+00:00","2009-10-23T01:12:38+00:00","39721"
2009-10-23,"2009-10-23T14:11:32+00:00","2009-10-24T01:11:28+00:00","39596"
2009-10-24,"2009-10-24T14:12:26+00:00","2009-10-25T01:10:19+00:00","39473"
2009-10-25,"2009-10-25T14:13:21+00:00","2009-10-26T01:09:11+00:00","39350"
2009-10-26,"2009-10-26T14:14:17+00:00","2009-10-27T01:08:04+00:00","39227"
