"date","heat","cool"
2013-04-08,12,0
2013-04-09,9,0
2013-04-10,5,0
2013-04-11,5,0
2013-04-12,4,0
2013-04-13,6,0
2013-04-14,9,0
2013-04-15,12,0
2013-04-16,15,0
2013-04-17,12,0
2013-04-18,9,0
2013-04-19,4,0
2013-04-20,1,1
2013-04-21,1,0
2013-04-22,1,1
2013-04-23,1,0
2013-04-24,4,0
2013-04-25,5,0
2013-04-26,3,0
2013-04-27,0,1
2013-04-28,0,2
2013-04-29,0,2
2013-04-30,2,1
2013-05-01,1,1
2013-05-02,0,3
2013-05-03,0,5
2013-05-04,0,1
2013-05-05,6,0
2013-05-06,7,0
2013-05-07,6,0
2013-05-08,6,0
2013-05-09,4,0
2013-05-10,0,1
2013-05-11,0,5
2013-05-12,0,8
2013-05-13,0,9
2013-05-14,0,4
2013-05-15,1,1
2013-05-16,3,0
2013-05-17,4,0
2013-05-18,2,0
2013-05-19,1,0
2013-05-20,0,3
2013-05-21,1,3
2013-05-22,5,0
2013-05-23,7,0
2013-05-24,6,0
2013-05-25,5,0
2013-05-26,5,0
2013-05-27,4,0
2013-05-28,2,0
2013-05-29,1,2
2013-05-30,1,2
2013-05-31,0,4
2013-06-01,0,7
2013-06-02,0,5
2013-06-03,0,3
2013-06-04,0,3
2013-06-05,0,4
2013-06-06,0,5
2013-06-07,0,8
2013-06-08,0,8
2013-06-09,0,6
2013-06-10,0,2
2013-06-11,0,5
2013-06-12,0,4
2013-06-13,0,3
2013-06-14,0,3
2013-06-15,0,2
2013-06-16,0,4
2013-06-17,0,4
2013-06-18,1,3
2013-06-19,2,2
2013-06-20,1,2
2013-06-21,0,3
2013-06-22,0,5
2013-06-23,1,2
2013-06-24,1,1
2013-06-25,1,4
2013-06-26,0,7
2013-06-27,0,11
2013-06-28,0,14
2013-06-29,0,16
2013-06-30,0,17
2013-07-01,0,16
2013-07-02,0,15
2013-07-03,0,14
2013-07-04,0,14
2013-07-05,0,10
2013-07-06,0,9
2013-07-07,0,10
2013-07-08,0,11
2013-07-09,0,12
2013-07-10,0,10
2013-07-11,0,8
2013-07-12,0,8
2013-07-13,0,9
2013-07-14,0,10
2013-07-15,0,9
2013-07-16,0,7
2013-07-17,0,7
2013-07-18,0,8
2013-07-19,0,9
2013-07-20,0,9
2013-07-21,0,9
2013-07-22,0,10
2013-07-23,0,10
2013-07-24,0,9
2013-07-25,0,11
2013-07-26,0,10
2013-07-27,0,9
2013-07-28,0,7
2013-07-29,0,6
2013-07-30,0,6
2013-07-31,0,6
2013-08-01,0,6
2013-08-02,0,7
2013-08-03,0,8
2013-08-04,0,8
2013-08-05,0,9
2013-08-06,0,8
2013-08-07,0,6
2013-08-08,0,4
2013-08-09,0,4
2013-08-10,0,4
2013-08-11,0,5
2013-08-12,0,7
2013-08-13,0,8
2013-08-14,0,9
2013-08-15,0,10
2013-08-16,0,11
2013-08-17,0,11
2013-08-18,0,11
2013-08-19,0,11
2013-08-20,0,10
2013-08-21,0,9
2013-08-22,0,9
2013-08-23,0,8
2013-08-24,0,8
2013-08-25,0,8
2013-08-26,0,7
2013-08-27,0,8
2013-08-28,0,10
2013-08-29,0,10
2013-08-30,0,12
2013-08-31,0,13
2013-09-01,0,12
2013-09-02,0,11
2013-09-03,0,11
2013-09-04,0,12
2013-09-05,0,11
2013-09-06,0,12
2013-09-07,0,12
2013-09-08,0,11
2013-09-09,0,10
2013-09-10,0,7
2013-09-11,0,5
2013-09-12,0,7
2013-09-13,0,9
2013-09-14,0,10
2013-09-15,0,10
2013-09-16,0,9
2013-09-17,1,5
2013-09-18,0,4
2013-09-19,0,5
2013-09-20,0,4
2013-09-21,1,4
2013-09-22,2,1
2013-09-23,0,4
2013-09-24,0,5
2013-09-25,2,1
2013-09-26,2,0
2013-09-27,2,1
2013-09-28,1,2
2013-09-29,0,3
2013-09-30,0,3
2013-10-01,1,2
2013-10-02,1,2
2013-10-03,2,1
2013-10-04,1,2
2013-10-05,1,4
2013-10-06,1,5
2013-10-07,1,2
2013-10-08,3,0
2013-10-09,6,0
2013-10-10,7,0
2013-10-11,5,0
2013-10-12,4,0
2013-10-13,4,0
2013-10-14,3,0
2013-10-15,1,2
2013-10-16,2,2
2013-10-17,1,1
2013-10-18,1,1
2013-10-19,1,1
2013-10-20,2,0
2013-10-21,2,0
2013-10-22,2,0
2013-10-23,2,0
2013-10-24,4,0
2013-10-25,3,0
2013-10-26,1,0
2013-10-27,3,0
2013-10-28,12,0
2013-10-29,12,0
2013-10-30,11,0
2013-10-31,8,0
2013-11-01,4,0
2013-11-02,4,0
2013-11-03,10,0
2013-11-04,11,0
2013-11-05,10,0
2013-11-06,7,0
2013-11-07,3,1
2013-11-08,4,0
2013-11-09,5,0
2013-11-10,5,0
2013-11-11,4,0
2013-11-12,4,0
2013-11-13,2,2
2013-11-14,3,2
2013-11-15,10,0
2013-11-16,12,0
2013-11-17,11,0
2013-11-18,13,0
2013-11-19,12,0
2013-11-20,11,0
2013-11-21,12,0
2013-11-22,14,0
2013-11-23,14,0
2013-11-24,14,0
2013-11-25,12,0
2013-11-26,11,0
2013-11-27,9,0
2013-11-28,10,0
2013-11-29,11,0
2013-11-30,9,0
2013-12-01,7,0
2013-12-02,8,0
2013-12-03,14,0
2013-12-04,21,0
2013-12-05,25,0
2013-12-06,25,0
2013-12-07,26,0
2013-12-08,27,0
2013-12-09,26,0
2013-12-10,22,0
2013-12-11,18,0
2013-12-12,15,0
2013-12-13,17,0
2013-12-14,15,0
2013-12-15,10,0
2013-12-16,6,0
2013-12-17,5,0
2013-12-18,8,0
2013-12-19,17,0
2013-12-20,18,0
2013-12-21,18,0
2013-12-22,15,0
2013-12-23,12,0
2013-12-24,9,0
2013-12-25,8,0
2013-12-26,7,0
2013-12-27,8,0
2013-12-28,10,0
2013-12-29,11,0
2013-12-30,11,0
2013-12-31,12,0
2014-01-01,11,0
2014-01-02,9,0
2014-01-03,9,0
2014-01-04,10,0
2014-01-05,10,0
2014-01-06,11,0
2014-01-07,12,0
2014-01-08,13,0
2014-01-09,14,0
2014-01-10,11,0
2014-01-11,11,0
2014-01-12,13,0
2014-01-13,10,0
2014-01-14,8,0
2014-01-15,5,0
2014-01-16,4,0
2014-01-17,4,0
2014-01-18,6,0
2014-01-19,6,0
2014-01-20,7,0
2014-01-21,8,0
2014-01-22,6,0
2014-01-23,10,0
2014-01-24,9,0
2014-01-25,4,0
2014-01-26,9,0
2014-01-27,10,0
2014-01-28,9,0
2014-01-29,7,0
2014-01-30,12,0
2014-01-31,15,0
2014-02-01,18,0
2014-02-02,21,0
2014-02-03,20,0
2014-02-04,20,0
2014-02-05,18,0
2014-02-06,20,0
2014-02-07,16,0
2014-02-08,13,0
2014-02-09,11,0
2014-02-10,9,0
2014-02-11,9,0
2014-02-12,7,0
2014-02-13,4,0
2014-02-14,3,0
2014-02-15,5,0
2014-02-16,6,0
2014-02-17,9,0
2014-02-18,11,0
2014-02-19,10,0
2014-02-20,8,0
2014-02-21,7,0
2014-02-22,8,0
2014-02-23,8,0
2014-02-24,7,0
2014-02-25,8,0
2014-02-26,12,0
2014-02-27,9,0
2014-02-28,12,0
2014-03-01,13,0
2014-03-02,13,0
2014-03-03,11,0
2014-03-04,10,0
2014-03-05,7,0
2014-03-06,6,0
2014-03-07,7,0
2014-03-08,5,0
2014-03-09,4,1
2014-03-10,5,0
2014-03-11,7,0
2014-03-12,6,0
2014-03-13,7,0
2014-03-14,7,0
2014-03-15,3,0
2014-03-16,1,2
2014-03-17,5,0
